format_raw,Format,Metric,Year,count,Revenue [m$],Units [m],Rev [m$]
8 - Track,Tapes,Value,2002,1,0,0,0
8 - Track,Tapes,Value,2003,1,0,0,0
8 - Track,Tapes,Value,2004,1,0,0,0
8 - Track,Tapes,Value,2005,1,0,0,0
8 - Track,Tapes,Value,2006,1,0,0,0
8 - Track,Tapes,Value,2007,1,0,0,0
8 - Track,Tapes,Value,2008,1,0,0,0
8 - Track,Tapes,Value,2009,1,0,0,0
8 - Track,Tapes,Value,2010,1,0,0,0
8 - Track,Tapes,Value,2011,1,0,0,0
8 - Track,Tapes,Value,2012,1,0,0,0
8 - Track,Tapes,Value,2013,1,0,0,0
8 - Track,Tapes,Value,2014,1,0,0,0
8 - Track,Tapes,Value,2015,1,0,0,0
